	chr6_122856000_122857000
V1	0.0141626841581366
V2	0.056346428055735
V3	0.157702387998393
V4	0.0101439469595995
V5	0.107871932295471
V6	0.0458347167147428
V7	0.0570368858403331
V8	0.0461638488750048
V9	0.0307182985796663
V10	0.0250399362024872
V11	0.0885555587139391
V12	0.0628168703732162
V13	0.0256494400360307
V14	0.288358122272848
V15	0.0178162667952209
V16	0.0652372527121937
V17	0.0185073920005661
V18	0.0474745011115551
V19	0.0137795585206402
V20	0.088955136733311
V21	0.0122605813263059
V22	0.0338619413497222
V23	0.418136663966216
V24	0.0568828719659604
V25	0.0533886506249833
V26	0.0562033639278156
V27	0.0542267267846857
V28	0.0739151125895255
V29	0.0377023775551119
V30	0.025812515920233
V31	0.383568453021981
V32	0.153590390041593
V33	0.0719741204927184
V34	0.0374710493932034
V35	0
V36	0
V37	0.0243553328632582
V38	0.107552120803317
V39	0.00937239320980118
V40	0.0216439979365023
V41	0.0782939737585532
V42	0.0604820158190223
V43	0.0623447686053293
V44	0.0525692561628319
V45	0.0725445955241629
V46	0.0276159209593009
V47	0.0638547404989721
V48	0.297125210465214
V49	0.0342387363091775
V50	0.0447025890258477
V51	0.0500476026572913
V52	0.0940404715323673
V53	0.0447803702566172
V54	0.152372294838196
V55	0.152066942071827
V56	0.0368836233283331
V57	0.0289546979538287
V58	0.0157363639078143
V59	0
V60	0.0939982237471003
V61	0
V62	0.254157200252141
V63	0.0102934785607195
V64	0.0504898220801716
V65	0.0357419787426304
V66	0.126613564998237
V67	0
V68	0.0699895324782229
V69	0.167295044727585
V70	0.0494906981011319
