	chr6_122696000_122697000
V1	0.0119845081369427
V2	0.00562071568672804
V3	0.0126896238422275
V4	0.00891216622154077
V5	0.103691855070164
V6	0.145465384089627
V7	0.0155651200956392
V8	0.0906821835914519
V9	0.00556734542484815
V10	0.0602340799382469
V11	0.0111524625538253
V12	0.110296696808575
V13	0.0281980654577805
V14	0
V15	0.0266752727911409
V16	0.131810483569029
V17	0.0160121742046485
V18	0.106777550053114
V19	0.0100149003668396
V20	0.00655818855541711
V21	0
V22	0
V23	0.0134047711222134
V24	0.00582827600383934
V25	0
V26	0.0264460281313457
V27	0.026470571762159
V28	0.00595946868771566
V29	0.0209480797727398
V30	0.0174930659401565
V31	0
V32	0
V33	0.113627978051264
V34	0.00711988771761985
V35	0.0376968040468975
V36	0.0270638717961207
V37	0.00850679826937308
V38	0.0758763882736029
V39	0
V40	0.0064656529546585
V41	0.0182397886881898
V42	0.105321727137782
V43	0
V44	0.0219332010681331
V45	0.0150442749886348
V46	0.0353811061313478
V47	0
V48	0
V49	0.018707228898911
V50	0.0110029139181152
V51	0
V52	0.0280874536885164
V53	0.00838708222089249
V54	0.0168952449852243
V55	0.0109062486941086
V56	0
V57	0.0181195983074499
V58	0
V59	0
V60	0.0181193121012708
V61	0.0272192443582275
V62	0
V63	0
V64	0
V65	0.0167982652527645
V66	0.0198785978120615
V67	0
V68	0.0349232481344705
V69	0.0667479575800713
V70	0
