	chr6_122734000_122735000
V1	0.00941008616193533
V2	0.00779646191856152
V3	0.0387595134972823
V4	0.0156417574036458
V5	0.253761705555237
V6	0.193384169467985
V7	0.00448235018992765
V8	0.222787975868259
V9	0.0253544562496202
V10	0.0718558695074124
V11	0.0249625716246754
V12	0.0878170774622995
V13	0.21040471845287
V14	0.0118763124690391
V15	0.088487408281918
V16	0.116562484532531
V17	0.0144100121812473
V18	0.221713549547446
V19	0.0264950595651622
V20	0.00402515425390029
V21	0.0196480780754122
V22	0.0244515645226513
V23	0.132932956927067
V24	0.0182820501453429
V25	0.00830040604577361
V26	0.0162695964082603
V27	0.202644257322822
V28	0.0322157835567717
V29	0.0436424955762433
V30	0.0467500183397819
V31	0.0534359621297823
V32	0.0444649138840823
V33	0.125138803830824
V34	0
V35	0.0147022405053457
V36	0.0482389587152043
V37	0.0130770254951557
V38	0.131443254107921
V39	0.0203228011933899
V40	0.0161362191858154
V41	0.259075747180325
V42	0.177983395605693
V43	0.0157214648973327
V44	0.0283711818400539
V45	0.0229913757248075
V46	0.0357582668844044
V47	0.0403380068920223
V48	0.033380665949667
V49	0.00755044571194502
V50	0.0331420259182494
V51	0.013705412899018
V52	0.011909547705696
V53	0.0282313693078566
V54	0.0102428621829081
V55	0
V56	0.0726645451074032
V57	0.0545827163718574
V58	0.012455826234771
V59	0.0524115285722833
V60	0.237691799104157
V61	0.302999521439312
V62	0.0413303258100289
V63	0.0377098059661652
V64	0
V65	0.038803092243819
V66	0
V67	0.0821221147388646
V68	0.0754716181829601
V69	0.152917687942723
V70	0.0510105339214721
