	chr6_122624000_122625000
V1	0.042490161759265
V2	0.109380226843506
V3	0.0842237579324132
V4	0.0920731613175618
V5	0.400260285828773
V6	0.42672022456888
V7	0.0533496076043057
V8	0.460976303388254
V9	0.052957482679921
V10	0.341632668485323
V11	0.0806599302581367
V12	0.429138959149386
V13	0.496858885527396
V14	0.0301975408661736
V15	0.176874718715023
V16	0.351051635758005
V17	0.0519357439428626
V18	0.343670291302104
V19	0.0878733148843141
V20	0.0281244474760829
V21	0.017887299388837
V22	0.165704233990886
V23	0.0940803066733404
V24	0.0541387762320599
V25	0.0931290011551492
V26	0.0277167698637934
V27	0.361549631083386
V28	0.0706001336816375
V29	0.0916884035780939
V30	0.1083477130828
V31	0.0449877831718714
V32	0
V33	0.340134286640251
V34	0.0237589090039475
V35	0.107968727023532
V36	0.0682971089160524
V37	0.0913316245731985
V38	0.473256279409715
V39	0.0926930764078346
V40	0.114636123774005
V41	0.238771734993423
V42	0.426551428998255
V43	0.108886254870349
V44	0.181722682652522
V45	0.116124080052652
V46	0.113337836233115
V47	0.0456525903731212
V48	0.0169927148723433
V49	0.12228605869491
V50	0.0308828537405363
V51	0.111135429574679
V52	0.0597041172431298
V53	0.0837963975929675
V54	0.0422906867937806
V55	0.0576071289019301
V56	0.168983653867367
V57	0.132806862420499
V58	0.072996351944499
V59	0.152106075462294
V60	0.336235452223077
V61	0.408763055227045
V62	0
V63	0.16387221058596
V64	0.125032041045342
V65	0.16849348967933
V66	0.124047046914545
V67	0.0630218148664927
V68	0.169735426569331
V69	0.171608976468944
V70	0.0940408793705913
