	chr6_122741000_122742000
V1	0.0383234507742084
V2	0.134471430030077
V3	0.164867023793811
V4	0.0564135841706785
V5	0.272635796779565
V6	0.201460564546181
V7	0.110582836615845
V8	0.200603500071136
V9	0.0402952634758884
V10	0.0824354216670844
V11	0.128672153274844
V12	0.161256066115653
V13	0.123028226150974
V14	0.122941266747164
V15	0.129418298839823
V16	0.153212409222213
V17	0.125590447742428
V18	0.159319198137195
V19	0.0683507220904274
V20	0.0962945766449715
V21	0.0510152619951096
V22	0.13561567645893
V23	0.260214902418706
V24	0.0420077099832834
V25	0.0902065883059018
V26	0.0823241318949554
V27	0.135562148562813
V28	0.0504859402613186
V29	0.144211131056719
V30	0.106737411458338
V31	0.177471038903216
V32	0.291354519440996
V33	0.122989796302282
V34	0.1132483308202
V35	0.0806062907760701
V36	0.14555959709745
V37	0.095224799265777
V38	0.0941621373166583
V39	0.048385538317487
V40	0.0573789126744408
V41	0.176257528635012
V42	0.208020181861755
V43	0.132334195862173
V44	0.100152198866219
V45	0.142710197942554
V46	0.0917210083265885
V47	0.108885436887264
V48	0.141615667351684
V49	0.0862706147419165
V50	0.164076517134226
V51	0.0473468978792837
V52	0.115823761264209
V53	0.120932858474372
V54	0.179310253479426
V55	0.116901217999385
V56	0.0613521463099046
V57	0.130281398109926
V58	0.157235829204437
V59	0.119822394391287
V60	0.145102103620818
V61	0.198666140294083
V62	0.152737718011282
V63	0.0783656706408907
V64	0.133039071821783
V65	0.0768545656748189
V66	0.216845885719008
V67	0.123604800955503
V68	0.345643434202101
V69	0.225805715132433
V70	0.090963650783092
