	chr6_122742000_122743000
V1	0.191409949196625
V2	0.142930307716115
V3	0.3320367913404
V4	0.176700448794813
V5	0.440230662121837
V6	0.467479005314437
V7	0.151074827867726
V8	0.490918405089411
V9	0.157468269418179
V10	0.267088113029211
V11	0.201042401975202
V12	0.256137769243239
V13	0.409708474894937
V14	0.274473630932826
V15	0.414321079678571
V16	0.331463568501194
V17	0.266932522198865
V18	0.375969744033893
V19	0.137182842857763
V20	0.188539674838783
V21	0.0671274595215068
V22	0.201596173438337
V23	0.481980653009036
V24	0.134331331493507
V25	0.239594464071928
V26	0.174832672536621
V27	0.520194067321113
V28	0.134197560976958
V29	0.3064297689688
V30	0.339401218632306
V31	0.299612143399916
V32	0.358726155223743
V33	0.348063370005923
V34	0.207865515174486
V35	0.251932168474158
V36	0.213688556432152
V37	0.139106498858695
V38	0.363831153627584
V39	0.128848044877102
V40	0.156808820028475
V41	0.582162042967714
V42	0.431232790081219
V43	0.170894949663074
V44	0.148103568196553
V45	0.193131390703158
V46	0.248179089647769
V47	0.156866864650183
V48	0.195520355176228
V49	0.176797016544376
V50	0.251220002587567
V51	0.0828557448210223
V52	0.187876574312516
V53	0.180269028010514
V54	0.192107952518757
V55	0.169584958152307
V56	0.176808490571484
V57	0.307495568985174
V58	0.176566617224825
V59	0.445326127208365
V60	0.545893498362275
V61	0.500958332015535
V62	0.255388790609208
V63	0.269283620412945
V64	0.194437279743886
V65	0.218745614096799
V66	0.256482406889661
V67	0.203811302243844
V68	0.539405916483596
V69	0.240644093697154
V70	0.269979262092598
