	chr6_122875000_122876000
V1	0.0513935709839978
V2	0.142457262039211
V3	0.247569629500674
V4	0.0392276513835679
V5	0.134668520781354
V6	0.131011099318718
V7	0.118105250788321
V8	0.0771344798060047
V9	0.0286577863467103
V10	0.065393380540629
V11	0.114209788591262
V12	0.0754184960985195
V13	0.0727237518411958
V14	0.155484976873009
V15	0.0434735451887945
V16	0.0789655505542411
V17	0.0950499925885113
V18	0.0676767514208593
V19	0.0415951923559685
V20	0.134010332177356
V21	0.0567702359935027
V22	0.0979169990331878
V23	0.231002165630929
V24	0.0647038668820162
V25	0.076181586140987
V26	0.206725863588468
V27	0.0898908754184393
V28	0.0839364956761318
V29	0.195301006255145
V30	0.0501341388077853
V31	0.179462688219002
V32	0.186867522674272
V33	0.115781018044426
V34	0.151659046364124
V35	0.0995325302443961
V36	0.0227200308767089
V37	0.0456443058102235
V38	0.348218205167299
V39	0.0549209002485681
V40	0.059282859217532
V41	0.0819246878967348
V42	0.125495291264241
V43	0.109669865102932
V44	0.12565281170405
V45	0.135186238316627
V46	0.0661491923467924
V47	0.210791401056325
V48	0.306649911173803
V49	0.0356585841338098
V50	0.16875734846487
V51	0.109611619354354
V52	0.126424646297041
V53	0.128826823040689
V54	0.107004123921597
V55	0.245697302967881
V56	0.0555445042240995
V57	0.0582668312198981
V58	0.113226038916907
V59	0.0404645090927413
V60	0.120177365736325
V61	0.0286315980209536
V62	0.213746816925582
V63	0.0529519125405404
V64	0.058893736587657
V65	0.0448100393611449
V66	0.208866628323955
V67	0.0515882020434304
V68	0.0710004200367815
V69	0.0337628821605584
V70	0.0542321405525838
