	chr6_122626000_122627000
V1	0.0308519539933868
V2	0.0215841898619927
V3	0.0387595134972823
V4	0.00960356313241389
V5	0.376339743387134
V6	0.390777394507487
V7	0.0179294007597106
V8	0.508971605932872
V9	0.0233746794405362
V10	0.18901711205376
V11	0.0221545949338668
V12	0.237735587999844
V13	0.485097895276578
V14	0.0237526249380781
V15	0.113984937000805
V16	0.187097143989168
V17	0.0561677484949897
V18	0.283293909471678
V19	0.0235945545261261
V20	0.0231585156847914
V21	0.0242487414426215
V22	0.0283821134494568
V23	0.169546300704427
V24	0.0125042745084655
V25	0.0098544712236328
V26	0.0381016598718434
V27	0.572303051031823
V28	0.013180465539935
V29	0.00273424399014404
V30	0.040060252132049
V31	0.00491333325531628
V32	0
V33	0.252455454977706
V34	0.0185736950626545
V35	0.0728627601737125
V36	0
V37	0.0232946106062389
V38	0.440307980043669
V39	0
V40	0
V41	0.141125727187325
V42	0.286960638875144
V43	0
V44	0.0203364980711903
V45	0.041766140705254
V46	0.100861550302801
V47	0.0170729493691925
V48	0
V49	0.0315104522115582
V50	0.0153187421130628
V51	0.0181849805541591
V52	0.0125097431708065
V53	0
V54	0.0305390375884393
V55	0.0329715957041043
V56	0.0181659360515957
V57	0.0373791737954389
V58	0
V59	0.0898805632796468
V60	0.201764850715675
V61	0.315034867572413
V62	0.011576292499111
V63	0.0144139733717328
V64	0
V65	0.049069436598727
V66	0
V67	0.130840213116451
V68	0.0875058435810769
V69	0.137493022088581
V70	0.0800172010856348
