	chr6_122627000_122628000
V1	0.0425228777082155
V2	0.0707776618719417
V3	0.199491163412391
V4	0.0623482206781061
V5	0.323384668412029
V6	0.409606961438611
V7	0.108224977996651
V8	0.411969672348661
V9	0.0675648469117188
V10	0.228809811898616
V11	0.123739896758148
V12	0.256115409475097
V13	0.437385498270021
V14	0.135784229974135
V15	0.200341873440338
V16	0.270840039161451
V17	0.106424050318903
V18	0.317308203581169
V19	0.0884755732290933
V20	0.123277854499382
V21	0.0282312312619399
V22	0.0484745490091667
V23	0.251570247829601
V24	0.112061062635783
V25	0.131746093580665
V26	0.0514002718604507
V27	0.42550843101408
V28	0.0866775030597662
V29	0.0649797430939763
V30	0.158916255208655
V31	0.119626553962591
V32	0.139240888317901
V33	0.28841842740201
V34	0.13099709118245
V35	0.117346727934263
V36	0.0557841198761415
V37	0.0917043576984339
V38	0.381544516052066
V39	0.111395449669709
V40	0.0573511183221912
V41	0.226453048648492
V42	0.386973961011711
V43	0.08811857941704
V44	0.101302234820578
V45	0.164094064251487
V46	0.175668320433431
V47	0.158058062371596
V48	0.137501903752651
V49	0.0952123957056402
V50	0.0794250057258824
V51	0.118563806298074
V52	0.172072796892911
V53	0.0547324277024557
V54	0.0825556080379031
V55	0.133594115527919
V56	0.0709850669767618
V57	0.121019517834959
V58	0.126475452978624
V59	0.127437333514136
V60	0.321076393311614
V61	0.370532089276374
V62	0.170525901446329
V63	0.138527278586229
V64	0.101659425065163
V65	0.0781756435713642
V66	0.114452112449923
V67	0.113300279255768
V68	0.403863801216524
V69	0.21346548083954
V70	0.164072611418059
