	chr6_122820000_122821000
V1	0.155497014870586
V2	0.224714638769229
V3	0.393054771068928
V4	0.153306367760277
V5	0.317569205706869
V6	0.441929062443218
V7	0.252919363645649
V8	0.322487416352922
V9	0.144239723450991
V10	0.292782123535382
V11	0.23484204938049
V12	0.36719257043786
V13	0.297389501245326
V14	0.316986557382399
V15	0.260277483240062
V16	0.371188117704743
V17	0.193390482547017
V18	0.329692277717898
V19	0.214939036406992
V20	0.278362429427819
V21	0.141244298976107
V22	0.28791923154012
V23	0.405800115764927
V24	0.201230606326329
V25	0.203693898603481
V26	0.130283524327801
V27	0.339557555638719
V28	0.210566391437553
V29	0.37442307142356
V30	0.280286723626442
V31	0.371042154406772
V32	0.236077774781832
V33	0.301241182694725
V34	0.281803804003634
V35	0.197843432278002
V36	0.167081815987039
V37	0.170136898579771
V38	0.346942401375535
V39	0.178610325822245
V40	0.199754201561722
V41	0.433781234517917
V42	0.384762077920522
V43	0.20401404331699
V44	0.179056063777531
V45	0.27342020716769
V46	0.250736200293157
V47	0.195483125267741
V48	0.286293405063588
V49	0.124166818986743
V50	0.259551233078528
V51	0.188004475564748
V52	0.270442267608423
V53	0.224702283474002
V54	0.277032017288671
V55	0.280587444451028
V56	0.190256733561814
V57	0.193707113677249
V58	0.306449668044731
V59	0.431189985470128
V60	0.460702916062007
V61	0.441080621494968
V62	0.271219896246827
V63	0.275648373990487
V64	0.24071587846816
V65	0.169390176168659
V66	0.453609425211953
V67	0.262777362856293
V68	0.418927196791278
V69	0.245359760617184
V70	0.289474036122216
