	chr6_122874000_122875000
V1	0.206287390332562
V2	0.323916632062157
V3	0.518818014442872
V4	0.246130780913696
V5	0.351820112954581
V6	0.45136124374245
V7	0.315808666428749
V8	0.371066400651178
V9	0.213238727341054
V10	0.290181418887758
V11	0.360224740282658
V12	0.349580259254275
V13	0.357167353403017
V14	0.414359570315132
V15	0.317563014257119
V16	0.37034869406317
V17	0.304548116864839
V18	0.402700740609089
V19	0.238751571702052
V20	0.383383106973342
V21	0.122269260248423
V22	0.373491149051235
V23	0.554263369291038
V24	0.257625307098894
V25	0.31731956411788
V26	0.224642856476643
V27	0.368671749141222
V28	0.328346934192008
V29	0.414205199335679
V30	0.269510570132351
V31	0.439858022478958
V32	0.334304506802711
V33	0.393768406113178
V34	0.391656535080972
V35	0.259770119339703
V36	0.190023861652014
V37	0.225613374219373
V38	0.424015111273566
V39	0.166935544974124
V40	0.233009201904494
V41	0.450861806766056
V42	0.480814672396141
V43	0.282936321597217
V44	0.314139047071476
V45	0.455714280217681
V46	0.288420158888433
V47	0.418401908690425
V48	0.599245124324078
V49	0.228023047238913
V50	0.396971755096607
V51	0.309474406797466
V52	0.413080747239113
V53	0.271846549829582
V54	0.332944603008492
V55	0.478272697533747
V56	0.29795074465675
V57	0.299106988724124
V58	0.336703856273262
V59	0.42501902965628
V60	0.337308711592432
V61	0.382077864959425
V62	0.551714191963122
V63	0.252946145532566
V64	0.344563448277474
V65	0.261757450277293
V66	0.506848076422538
V67	0.288872946549641
V68	0.813076140066305
V69	0.197191892954888
V70	0.266715030370157
