	chr6_122699000_122700000
V1	0.0115769299377
V2	0.0140283044713749
V3	0.029064477217529
V4	0.0345537258883421
V5	0.183058737203912
V6	0.152005348993051
V7	0.0294102038618504
V8	0.10431278830929
V9	0.0170929764426453
V10	0.054949177935988
V11	0.0369352917331002
V12	0.0748107294333584
V13	0.117578519850141
V14	0.0111320673958164
V15	0.079582338788843
V16	0.0774598688999553
V17	0.023272445694058
V18	0.120957222475156
V19	0.0246541800052686
V20	0.0254734379304618
V21	0.0160475545631079
V22	0.0838348696694812
V23	0.203459861016106
V24	0.0390368868965406
V25	0.0315277812624999
V26	0.0920765751219888
V27	0.117935838877329
V28	0.0296227245855437
V29	0.0225394751293408
V30	0.0326533737408715
V31	0.0311831026627749
V32	0.0416784603299365
V33	0.106900169588152
V34	0.0158434873558253
V35	0.0306182881635758
V36	0.0659373470880969
V37	0.0389853716135917
V38	0.22615593782619
V39	0.0511767381623423
V40	0.0263601692575603
V41	0.0548181901366037
V42	0.128141814838038
V43	0.00750517665379102
V44	0.0735634082209695
V45	0.0502513166897012
V46	0.0305129706235102
V47	0.0221459396717094
V48	0.0128807852763411
V49	0.0415965972580361
V50	0
V51	0
V52	0
V53	0.0280681494223547
V54	0
V55	0
V56	0.0329734654508992
V57	0.0320841443145162
V58	0
V59	0
V60	0
V61	0.0397860868341061
V62	0
V63	0.0100150316679148
V64	0.0755425120367001
V65	0.0141020881303711
V66	0
V67	0.0255202312983612
V68	0.241922331166834
V69	0.0701078868425997
V70	0
