	chr6_122743000_122744000
V1	0.0655489392906303
V2	0.0140975909993143
V3	0.115906858865544
V4	0.0738899116840419
V5	0.37303300818176
V6	0.445906657306804
V7	0.069084738273313
V8	0.433079811203752
V9	0.0720427306871334
V10	0.203487404629009
V11	0.0789050550238792
V12	0.225440146278405
V13	0.359754970409392
V14	0.0962195242089716
V15	0.232601313203831
V16	0.231541379736352
V17	0.160889357319102
V18	0.269847894228235
V19	0.0576900925662933
V20	0.067006923668443
V21	0.0337141949634305
V22	0.067417695718467
V23	0.336643346424549
V24	0.0614715650940169
V25	0.0977892833164247
V26	0.146757539509738
V27	0.547987508264419
V28	0.0454001866161939
V29	0.179453764148533
V30	0.178498073198552
V31	0.143166827155182
V32	0.120081966212797
V33	0.238521288608012
V34	0.0589393974420784
V35	0.102274551552265
V36	0
V37	0.0817963819434899
V38	0.451353172929114
V39	0.0440714694615444
V40	0.0506108133817599
V41	0.438986018417156
V42	0.356904765614825
V43	0.051721559041596
V44	0.0700060552430585
V45	0.0695198524636144
V46	0.108088377635544
V47	0.0439340843242688
V48	0.0313947953792714
V49	0.0744490959114308
V50	0.0784213959305705
V51	0.054321666850507
V52	0.0409317120006875
V53	0.0920500780244351
V54	0.0677588434371564
V55	0.0628838999492579
V56	0.107023393462701
V57	0.136272761228315
V58	0.0571512276372896
V59	0.427594779293343
V60	0.562113868213557
V61	0.458215469863241
V62	0.147760700567097
V63	0.112738686340901
V64	0.0689798830648497
V65	0.0918136944483546
V66	0.110191507971869
V67	0.126629727936707
V68	0.296128255731833
V69	0.197966773611567
V70	0.137509720594562
