	chr6_122706000_122707000
V1	0.0510785227370011
V2	0.00687760929429942
V3	0.0367533623644247
V4	0.0698642000200807
V5	0.290528093399112
V6	0.306187859480868
V7	0.0255020911115734
V8	0.300085848718232
V9	0.0433057395553138
V10	0.0982042835610495
V11	0.024147862332308
V12	0.198299118268049
V13	0.275320517213625
V14	0.0303193078135531
V15	0.207695001739144
V16	0.0981284429863376
V17	0.0670840065084078
V18	0.166817148371204
V19	0.0516531119659877
V20	0.0353536777231293
V21	0.0279443032067077
V22	0.0504273394674599
V23	0.0717114150596412
V24	0.0263216156049381
V25	0.031856843667108
V26	0.189867199040572
V27	0.217717166028519
V28	0.0393415526292357
V29	0.110832967539999
V30	0.125744334837009
V31	0.0148898197631343
V32	0.042163457304468
V33	0.183753378012065
V34	0
V35	0.085832976875995
V36	0.141535598016811
V37	0.0322426143800322
V38	0.420519362736516
V39	0.0649375567615682
V40	0.0281271279816671
V41	0.199582262421209
V42	0.254054808286556
V43	0.0252774981470126
V44	0.0306772623406794
V45	0.0457186114954713
V46	0.0978714788831339
V47	0.0256993885417115
V48	0.0194913845557836
V49	0.0726159348085328
V50	0.0412469291847264
V51	0.027512387392365
V52	0.0294220489844059
V53	0.016213315858093
V54	0.0613506554604866
V55	0.0372348092670351
V56	0.0753084507248067
V57	0.0848827615565706
V58	0.045515928807275
V59	0.228579821082198
V60	0.3175715941977
V61	0.184936836709753
V62	0.0684362576953534
V63	0.0859520520903177
V64	0
V65	0.133307170877323
V66	0.0357833138685396
V67	0.10958413892155
V68	0.273380347158966
V69	0.192214148140797
V70	0.12157324096798
