	chr6_122732000_122733000
V1	0.0150680328960558
V2	0
V3	0.0157465149581587
V4	0.0134972640075864
V5	0.273069907340422
V6	0.283795446606566
V7	0.0303752252566519
V8	0.286369432055407
V9	0.0331871182366996
V10	0.0595158543523298
V11	0.0249215991130515
V12	0.0835998334625629
V13	0.227198925847166
V14	0.0120622342147434
V15	0.117538782039469
V16	0.0597075833242353
V17	0.019543186903506
V18	0.254661912435458
V19	0.0214645041938619
V20	0.0232829505298862
V21	0
V22	0.00641389474000473
V23	0.26665558804026
V24	0.0209046097621009
V25	0.0226878514614749
V26	0.00841358235753641
V27	0.23546516049947
V28	0.0121761829233499
V29	0.0561802154016766
V30	0.106704931310674
V31	0.0233752613354034
V32	0.026111179137494
V33	0.0935937003157435
V34	0.00861125514409332
V35	0.0525200774691256
V36	0.0241194793576022
V37	0.0191982668955734
V38	0.152295709225839
V39	0
V40	0.0135995674758696
V41	0.300104850985667
V42	0.112143137907343
V43	0.00616104055522844
V44	0.00945706061335129
V45	0.0192543030614261
V46	0.0850120455396013
V47	0.043180433910765
V48	0.0357549956843758
V49	0.0322617794478374
V50	0.0201256456980742
V51	0.0148223510168684
V52	0.0161954779152207
V53	0.0130940466750777
V54	0.0372155017122031
V55	0.016444124957131
V56	0.0122425114411476
V57	0.0300366635923586
V58	0
V59	0.100090414042987
V60	0.257468442537245
V61	0.314105653776421
V62	0.0280021258161182
V63	0.0486904241033262
V64	0.056665057672978
V65	0.025874520645089
V66	0.0109647689806397
V67	0.11652510889767
V68	0.0432249565966776
V69	0.193611394657832
V70	0.101273131293263
