bin1kb	chr	gene
chr6_100286000_100287000	chr6	Rybp_ENSMUST00000101118_100287440_up1kb
chr6_100287000_100288000	chr6	Rybp_ENSMUST00000101118_100287440_tss
chr6_100288000_100289000	chr6	Rybp_ENSMUST00000101118_100287440_down1kb
chr6_100493000_100494000	chr6	Gm23234_ENSMUST00000157304_100494813_up1kb
chr6_100494000_100495000	chr6	Gm23234_ENSMUST00000157304_100494813_tss
chr6_100495000_100496000	chr6	Gm23234_ENSMUST00000157304_100494813_down1kb
chr6_100603000_100604000	chr6	Gm6565_ENSMUST00000111428_100604682_up1kb;Gm6565_ENSMUST00000121217_100604682_up1kb
chr6_100604000_100605000	chr6	Gm6565_ENSMUST00000111428_100604682_tss;Gm6565_ENSMUST00000121217_100604682_tss
chr6_100605000_100606000	chr6	Gm6565_ENSMUST00000111428_100604682_down1kb;Gm6565_ENSMUST00000121217_100604682_down1kb
chr6_100670000_100671000	chr6	Shq1_ENSMUST00000089245_100671138_up1kb;Shq1_ENSMUST00000113312_100671156_up1kb;Shq1_ENSMUST00000162776_100671132_up1kb;Shq1_ENSMUST00000170667_100671156_up1kb
chr6_100671000_100672000	chr6	Shq1_ENSMUST00000089245_100671138_tss;Shq1_ENSMUST00000113312_100671156_tss;Shq1_ENSMUST00000162776_100671132_tss;Shq1_ENSMUST00000170667_100671156_tss
chr6_100672000_100673000	chr6	Shq1_ENSMUST00000089245_100671138_down1kb;Shq1_ENSMUST00000113312_100671156_down1kb;Shq1_ENSMUST00000162776_100671132_down1kb;Shq1_ENSMUST00000170667_100671156_down1kb
chr6_100703000_100704000	chr6	Gxylt2_ENSMUST00000032157_100704733_up1kb;Gxylt2_ENSMUST00000141333_100704754_up1kb
chr6_100704000_100705000	chr6	Gxylt2_ENSMUST00000032157_100704733_tss;Gxylt2_ENSMUST00000141333_100704754_tss
chr6_100705000_100706000	chr6	Gxylt2_ENSMUST00000032157_100704733_down1kb;Gxylt2_ENSMUST00000141333_100704754_down1kb
chr6_100725000_100726000	chr6	Gm15576_ENSMUST00000117806_100726233_up1kb
chr6_100726000_100727000	chr6	Gm15576_ENSMUST00000117806_100726233_tss
chr6_100727000_100728000	chr6	Gm15576_ENSMUST00000117806_100726233_down1kb
chr6_100832000_100833000	chr6	Ppp4r2_ENSMUST00000063854_100833637_up1kb
chr6_100833000_100834000	chr6	Ppp4r2_ENSMUST00000063854_100833637_tss
chr6_100834000_100835000	chr6	Ppp4r2_ENSMUST00000063854_100833637_down1kb
chr6_101197000_101198000	chr6	Gm26911_ENSMUST00000181770_101198568_up1kb
chr6_101198000_101199000	chr6	Gm26911_ENSMUST00000181770_101198568_tss;Pdzrn3_ENSMUST00000144505_101199199_up1kb
chr6_101199000_101200000	chr6	Pdzrn3_ENSMUST00000144505_101199199_tss;Gm26911_ENSMUST00000181770_101198568_down1kb
chr6_101200000_101201000	chr6	Pdzrn3_ENSMUST00000144505_101199199_down1kb
chr6_101354000_101355000	chr6	Pdzrn3_ENSMUST00000124884_101355009_up1kb
chr6_101355000_101356000	chr6	Pdzrn3_ENSMUST00000124884_101355009_tss
chr6_101356000_101357000	chr6	Pdzrn3_ENSMUST00000124884_101355009_down1kb
chr6_101376000_101377000	chr6	Pdzrn3_ENSMUST00000075994_101377896_up1kb;Pdzrn3_ENSMUST00000151175_101377341_up1kb
chr6_101377000_101378000	chr6	Pdzrn3_ENSMUST00000075994_101377896_tss;Pdzrn3_ENSMUST00000151175_101377341_tss
chr6_101378000_101379000	chr6	Pdzrn3_ENSMUST00000075994_101377896_down1kb;Pdzrn3_ENSMUST00000151175_101377341_down1kb
chr6_10171000_10172000	chr6	Gm24104_ENSMUST00000174935_10172098_up1kb
chr6_10172000_10173000	chr6	Gm24104_ENSMUST00000174935_10172098_tss
chr6_10173000_10174000	chr6	Gm24104_ENSMUST00000174935_10172098_down1kb
chr6_101795000_101796000	chr6	Gm9871_ENSMUST00000064002_101796224_up1kb
chr6_101796000_101797000	chr6	Gm9871_ENSMUST00000064002_101796224_tss
chr6_101797000_101798000	chr6	Gm9871_ENSMUST00000064002_101796224_down1kb
chr6_102463000_102464000	chr6	Cntn3_ENSMUST00000032159_102464666_up1kb
chr6_102464000_102465000	chr6	Cntn3_ENSMUST00000032159_102464666_tss
chr6_102465000_102466000	chr6	Cntn3_ENSMUST00000032159_102464666_down1kb
chr6_102793000_102794000	chr6	mmu-mir-6373_ENSMUST00000183546_102794383_up1kb
chr6_102794000_102795000	chr6	mmu-mir-6373_ENSMUST00000183546_102794383_tss
chr6_102795000_102796000	chr6	mmu-mir-6373_ENSMUST00000183546_102794383_down1kb
chr6_102861000_102862000	chr6	Gm26022_ENSMUST00000158663_102862367_up1kb
chr6_102862000_102863000	chr6	Gm26022_ENSMUST00000158663_102862367_tss
chr6_102863000_102864000	chr6	Gm26022_ENSMUST00000158663_102862367_down1kb
chr6_103509000_103510000	chr6	Chl1_ENSMUST00000066905_103510875_up1kb
chr6_103510000_103511000	chr6	Chl1_ENSMUST00000066905_103510875_tss
chr6_103511000_103512000	chr6	Chl1_ENSMUST00000066905_103510875_down1kb
chr6_103587000_103588000	chr6	Gm24784_ENSMUST00000157640_103588703_up1kb
chr6_103588000_103589000	chr6	Gm24784_ENSMUST00000157640_103588703_tss
chr6_103589000_103590000	chr6	Gm24784_ENSMUST00000157640_103588703_down1kb
chr6_103831000_103832000	chr6	Gm25656_ENSMUST00000158466_103832577_up1kb
chr6_103832000_103833000	chr6	Gm25656_ENSMUST00000158466_103832577_tss
chr6_103833000_103834000	chr6	Gm25656_ENSMUST00000158466_103832577_down1kb
chr6_104491000_104492000	chr6	Cntn6_ENSMUST00000089215_104492921_up1kb;Cntn6_ENSMUST00000161070_104492810_up1kb;Cntn6_ENSMUST00000161446_104492789_up1kb
chr6_104492000_104493000	chr6	Cntn6_ENSMUST00000089215_104492921_tss;Cntn6_ENSMUST00000161070_104492810_tss;Cntn6_ENSMUST00000161446_104492789_tss;Cntn6_ENSMUST00000161413_104493053_up1kb;Cntn6_ENSMUST00000162872_104493247_up1kb
chr6_104493000_104494000	chr6	Cntn6_ENSMUST00000161413_104493053_tss;Cntn6_ENSMUST00000162872_104493247_tss;Cntn6_ENSMUST00000089215_104492921_down1kb;Cntn6_ENSMUST00000161070_104492810_down1kb;Cntn6_ENSMUST00000161446_104492789_down1kb
chr6_104494000_104495000	chr6	Cntn6_ENSMUST00000161413_104493053_down1kb;Cntn6_ENSMUST00000162872_104493247_down1kb
chr6_105231000_105232000	chr6	Gm23339_ENSMUST00000158962_105232604_up1kb
chr6_105232000_105233000	chr6	Gm23339_ENSMUST00000158962_105232604_tss
chr6_105233000_105234000	chr6	Gm23339_ENSMUST00000158962_105232604_down1kb
chr6_105398000_105399000	chr6	Gm25570_ENSMUST00000179099_105399718_up1kb
chr6_105399000_105400000	chr6	Gm25570_ENSMUST00000179099_105399718_tss
chr6_105400000_105401000	chr6	Gm25570_ENSMUST00000179099_105399718_down1kb
